"nr","time","Valandos","Prognoze","Skirtumas"
1086,2008.25,,1161.72341869965,
1086,2008.5,,1669.96969699614,
1086,2008.75,,1448.93857359833,
1102,2008,,116.24152821656,
1102,2008.25,,110.28419250138,
1102,2008.5,,97.937720141026,
1102,2008.75,,92.0899878909507,
1139,2008,2671,,
1139,2008.25,3121,3132.1206525756,-11.1206525756006
1139,2008.5,2764,3423.82855970935,-659.828559709355
1139,2008.75,2952,3640.06259506908,-688.062595069076
1166,2008,,2403.76961769331,
1166,2008.25,,2336.06161007038,
1166,2008.5,,2409.89879708037,
1166,2008.75,,2767.43119863224,
1181,2008,2963,2523.22632955348,439.773670446524
1181,2008.25,2532,2262.45337336976,269.546626630243
1181,2008.5,2532,1883.68967658557,648.310323414426
1181,2008.75,2654,2038.59917627519,615.400823724807
1203,2008,211,271.304222698001,-60.3042226980008
1203,2008.25,493,101.326461208507,391.673538791493
1203,2008.5,66,260.012557078899,-194.012557078899
1203,2008.75,66,424.052417675065,-358.052417675065
1293,2008,9407,9123.03493654783,283.965063452171
1293,2008.25,9470,9492.44560854462,-22.4456085446182
1293,2008.5,9853,9638.97688376222,214.023116237782
1293,2008.75,9188,11084.251063785,-1896.25106378496
1303,2008,,1099.4770377866,
1303,2008.25,,757.912126238594,
1303,2008.5,,759.531202146616,
1303,2008.75,,811.165450567223,
1308,2008,,418.31578173957,
1308,2008.25,,412.121985890509,
1308,2008.5,,411.760708177275,
1308,2008.75,,457.601683317793,
1309,2008,,418.31578173957,
1309,2008.25,,412.121985890509,
1309,2008.5,,411.760708177275,
1309,2008.75,,457.601683317793,
1368,2008,1,1,0
1368,2008.25,1,1,0
1368,2008.5,1,1,0
1368,2008.75,1,1,0
1392,2008,,456.432322865457,
1392,2008.25,,453.342066273587,
1392,2008.5,,454.628620118338,
1392,2008.75,,438.576155215452,
1488,2008,,1184.3791714786,
1488,2008.25,,1178.18537562954,
1488,2008.5,,822.575552212971,
1488,2008.75,,439.769278217595,
1524,2008,4244,3472.76626367515,771.233736324852
1524,2008.25,5316,3966.95378640781,1349.04621359219
1524,2008.5,6036,4225.90425597323,1810.09574402677
1524,2008.75,5436,4745.99302525183,690.006974748171
1574,2008,,48,
1574,2008.25,,48,
1574,2008.5,,48,
1574,2008.75,,48,
1658,2008,,445.879940409623,
1658,2008.25,,439.686144560562,
1658,2008.5,,439.324866847328,
1658,2008.75,,433.52886025154,
1670,2008,,378.748771506577,
1670,2008.25,,373.072232200382,
1670,2008.5,,421.590356806239,
1670,2008.75,,423.553198353427,
1699,2008,,2683.57465694026,
1699,2008.25,,2422.69532379218,
1699,2008.5,,2567.74814526152,
1699,2008.75,,2417.94834072597,
1722,2008,,453.909779771644,
1722,2008.25,,444.597665907025,
1722,2008.5,,416.523046408283,
